fund_id,class_id,aum_type,aum_value_raw,aum_value_krw,aum_unit,as_of_date,source_doc_id,source_page,source_text
FUND000004,,자산총액,"113,949백만원",113949000000,백만원,2025-07-18,DOC000004,38,"[p.38] 집합투자기구 자산구성 현황; 자산총액 113,949백만원"
FUND000005,,자산총액,"273,894백만원",273894000000,백만원,2025-12-27,DOC000005,35,"[p.35] 집합투자기구 자산구성 현황; 자산총액 273,894백만원"
FUND000007,,자산총액,"6,351억원",635100000000,억원,2025-07-07,DOC000007,53,"[p.53] 집합투자기구 자산구성 현황; 자산총액 6,351억원"
FUND000008,,자산총액,"571,769백만원",571769000000,백만원,2025-12-31,DOC000008,45,"[p.45] 집합투자기구 자산구성 현황; 자산총액 571,769백만원"
FUND000009,,자산총액,"132,934백만원",132934000000,백만원,2025-03-10,DOC000009,35,"[p.35] 집합투자기구 자산구성 현황; 자산총액 132,934백만원"
FUND000010,,자산총액,"155,854백만원",155854000000,백만원,2025-06-25,DOC000010,45,"[p.45] 집합투자기구 자산구성 현황; 자산총액 155,854백만원"
FUND000011,,자산총액,"80,473백만원",80473000000,백만원,2025-09-29,DOC000011,38,"[p.38] 집합투자기구 자산구성 현황; 자산총액 80,473백만원"
FUND000012,,자산총액,"20,815억원",2081500000000,억원,2025-12-03,DOC000012,54,"[p.54] 집합투자기구 자산구성 현황; 자산총액 20,815억원"
FUND000013,,자산총액,721억원,72100000000,억원,2025-07-11,DOC000013,54,[p.54] 집합투자기구 자산구성 현황; 자산총액 721억원
FUND000014,,자산총액,"48,406백만원",48406000000,백만원,2025-03-31,DOC000014,40,"[p.40] 집합투자기구 자산구성 현황; 자산총액 48,406백만원"
FUND000015,,자산총액,90억원,9000000000,억원,2025-01-15,DOC000015,51,[p.51] 집합투자기구 자산구성 현황; 자산총액 90억원
FUND000017,,자산총액,721억원,72100000000,억원,2025-05-20,DOC000017,32,[p.32] 집합투자기구 자산구성 현황; 자산총액 721억원
FUND000018,,자산총액,393억원,39300000000,억원,2020-12-25,DOC000018,42,[p.42] 집합투자기구 자산구성 현황; 자산총액 393억원
FUND000019,,자산총액,476억원,47600000000,억원,2024-12-31,DOC000019,37,[p.37] 집합투자기구 자산구성 현황; 자산총액 476억원
FUND000020,,자산총액,"1,644,172백만원",1644172000000,백만원,2024-12-12,DOC000020,43,"[p.43] 집합투자기구 자산구성 현황; 자산총액 1,644,172백만원"
FUND000021,,자산총액,"1,574억원",157400000000,억원,2024-12-31,DOC000021,37,"[p.37] 집합투자기구 자산구성 현황; 자산총액 1,574억원"
FUND000022,,자산총액,833억원,83300000000,억원,2025-08-20,DOC000023,39,[p.39] 집합투자기구 자산구성 현황; 자산총액 833억원
FUND000023,,자산총액,605억원,60500000000,억원,2025-09-07,DOC000024,37,[p.37] 집합투자기구 자산구성 현황; 자산총액 605억원
FUND000024,,자산총액,"1,034억원",103400000000,억원,2025-11-04,DOC000025,39,"[p.39] 집합투자기구 자산구성 현황; 자산총액 1,034억원"
FUND000025,,자산총액,"1,168억원",116800000000,억원,2025-05-17,DOC000026,40,"[p.40] 집합투자기구 자산구성 현황; 자산총액 1,168억원"
FUND000026,,자산총액,185억원,18500000000,억원,2025-11-05,DOC000028,40,[p.40] 집합투자기구 자산구성 현황; 자산총액 185억원
FUND000027,,자산총액,"4,242억원",424200000000,억원,2025-08-31,DOC000029,56,"[p.56] 집합투자기구 자산 구성 현황; 자산총액 4,242억원"
FUND000028,,자산총액,"1,205억원",120500000000,억원,2025-01-24,DOC000030,57,"[p.57] 집합투자기구 자산 구성 현황; 자산총액 1,205억원"
FUND000029,,자산총액,"7,218억원",721800000000,억원,2025-09-13,DOC000031,52,"[p.52] 집합투자기구 자산 구성 현황; 자산총액 7,218억원"
FUND000030,,자산총액,"5,975억원",597500000000,억원,2025-08-13,DOC000032,54,"[p.54] 집합투자기구 자산 구성 현황; 자산총액 5,975억원"
FUND000031,,자산총액,"26,758백만원",26758000000,백만원,2025-01-12,DOC000033,39,"[p.39] 집합투자기구 자산 구성 현황; 자산총액 26,758백만원"
FUND000032,,자산총액,"1,113,765백만원",1113765000000,백만원,2025-05-25,DOC000034,46,"[p.46-47] 자투자신탁 운용 자산 구성 현황; 자산총액 1,113,765백만원"
FUND000033,,자산총액,"422,621백만원",422621000000,백만원,2025-04-24,DOC000035,44,"[p.44] 자투자신탁 운용 자산 구성 현황; 자산총액 422,621백만원"
FUND000034,,자산총액,"486,791백만원",486791000000,백만원,2025-04-16,DOC000036,51,"[p.51] 자투자신탁 자산구성 현황; 자산총액 486,791백만원"
FUND000035,,자산총액,"208,908백만원",208908000000,백만원,2025-05-02,DOC000037,58,"[p.58] 자투자신탁 자산구성 현황; 자산총액 208,908백만원"
FUND000037,,자산총액,"301,645백만원",301645000000,백만원,2025-11-06,DOC000039,56,"[p.56] 자투자신탁 자산구성 현황; 자산총액 301,645백만원"
FUND000038,,자산총액,"21,943억원",2194300000000,억원,2025-07-31,DOC000040,40,"[p.40] 집합투자기구 자산구성 현황; 자산총액 21,943억원"
FUND000039,,자산총액,117억원,11700000000,억원,2025-01-31,DOC000041,50,[p.50] 자투자신탁 자산구성 현황; 자산총액 117억원 (p.51 모투자신탁 192억원은 제외)
FUND000040,,자산총액,25억원,2500000000,억원,2025-07-31,DOC000042,35,[p.35] 자투자신탁 자산구성 현황; 자산총액 25억원 (p.36 모투자신탁 250억원은 제외)
FUND000041,,자산총액,465억원,46500000000,억원,2025-01-31,DOC000043,50,"[p.50] 자투자신탁 자산구성 현황; 자산총액 465억원 (p.51-52 모투자신탁 1,368억원 및 195억원은 제외)"
FUND000042,,자산총액,"2,066,617백만원",2066617000000,백만원,2025-09-04,DOC000044,62,"[p.62] 집합투자기구 자산구성 현황; 자산총액 2,066,617백만원"
FUND000043,,자산총액,"416,583백만원",416583000000,백만원,2024-12-20,DOC000045,62,"[p.62] 자산총액 416,583백만원; 문서 기준일보다 1년 이전 표"
FUND000044,,자산총액,"316,227백만원",316227000000,백만원,2024-12-18,DOC000046,69,"[p.69] 자투자신탁 자산총액 316,227백만원"
FUND000045,,자산총액,"18,737백만원",18737000000,백만원,2025-06-03,DOC000047,56,"[p.56] 자투자신탁 자산총액 18,737백만원"
FUND000046,,자산총액,"9,385억원",938500000000,억원,2025-03-31,DOC000048,80,"[p.80] 집합투자기구 자산구성 현황; 자산총액 9,385억원"
FUND000052,,자산총액,"5,856백만원",5856000000,백만원,2024-12-31,DOC000054,48,"[p.48] 집합투자기구 자산구성 현황; 자산총액 5,856백만원"
FUND000053,,자산총액,"54,164백만원",54164000000,백만원,2025-09-30,DOC000055,46,"[p.46] 자산구성 현황; 합계 54,164백만원"
FUND000054,,자산총액,"24,093백만원",24093000000,백만원,2025-09-30,DOC000056,49,"[p.49] 자산구성 현황; 합계 24,093백만원"
FUND000055,,자산총액,"56,508백만원",56508000000,백만원,2025-09-30,DOC000057,47,"[p.47] 자산구성 현황; 합계 56,508백만원"
FUND000056,,자산총액,"3,673백만원",3673000000,백만원,2025-06-30,DOC000058,51,"[p.51] 자산구성 현황; 합계 3,673백만원"
FUND000057,,자산총액,"72,197백만원",72197000000,백만원,2020-12-31,DOC000059,45|46,"[p.45|46] 자산구성 현황; 합계 72,197백만원"
FUND000058,,자산총액,"4,549백만원",4549000000,백만원,2024-12-31,DOC000060,42,"[p.42] 자산구성 현황; 합계 4,549백만원"
FUND000059,,자산총액,"936,993백만원",936993000000,백만원,2025-06-30,DOC000061,45,"[p.45] 자산구성 현황; 합계 936,993백만원"
FUND000060,,자산총액,"79,317백만원",79317000000,백만원,2025-09-30,DOC000062,48,"[p.48] 자산구성 현황; 합계 79,317백만원"
FUND000061,,자산총액,"8,916백만원",8916000000,백만원,2025-09-30,DOC000063,50,"[p.50] 자산구성 현황; 합계 8,916백만원"
FUND000063,,자산총액,"10,581백만원",10581000000,백만원,2024-12-31,DOC000065,35,"[p.35] 자산구성 현황; 합계 10,581백만원"
FUND000064,,자산총액,"160,467백만원",160467000000,백만원,2025-03-31,DOC000066,70|71,"[p.70|71] 자산구성 현황; 합계 160,467백만원"
FUND000065,,자산총액,"23,848백만원",23848000000,백만원,2025-06-30,DOC000067,35,"[p.35] 자산구성 현황; 합계 23,848백만원"
FUND000066,,자산총액,"48,973백만원",48973000000,백만원,2025-06-30,DOC000068,35,"[p.35] 자산구성 현황; 합계 48,973백만원"
FUND000067,,자산총액,"16,984백만원",16984000000,백만원,2025-09-30,DOC000069,50,"[p.50] 자산구성 현황; 합계 16,984백만원"
FUND000068,,자산총액,"6,620백만원",6620000000,백만원,2025-06-30,DOC000070,46|47,"[p.46|47] 자산구성 현황; 합계 6,620백만원"
FUND000069,,자산총액,"1,976백만원",1976000000,백만원,2025-09-30,DOC000071,51,"[p.51] 자산구성 현황; 합계 1,976백만원"
