fee_schedule_id,class_id,fund_id,class_name_normalized,period_type,effective_from_event,effective_to_event,rate_type,management_fee,base_management_fee,min_management_fee,max_management_fee,sales_fee,trust_fee,admin_fee,total_fee,min_total_fee,max_total_fee,total_expense_ratio,benchmark_type,benchmark_rate,performance_multiplier,lookback_months,recalculation_months,formula,source_doc_id,source_page,source_text
FEESCHED000001,CLASS000077,FUND000006,A,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.1,0.028,0.015,0.443,,,0.443,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 A; 총보수 0.443%
FEESCHED000002,CLASS000078,FUND000006,Ae,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.05,0.028,0.015,0.393,,,0.393,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 Ae; 총보수 0.393%
FEESCHED000003,CLASS000079,FUND000006,AG,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.06,0.028,0.015,0.403,,,0.403,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 AG; 총보수 0.403%
FEESCHED000004,CLASS000080,FUND000006,C,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.7,0.028,0.015,1.043,,,1.043,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 C; 총보수 1.043%
FEESCHED000005,CLASS000081,FUND000006,Ce,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.35,0.028,0.015,0.693,,,0.693,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 Ce; 총보수 0.693%
FEESCHED000006,CLASS000082,FUND000006,CI,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.04,0.028,0.015,0.383,,,0.383,,,,,,,DOC000006,33,[p.33] 최초설정일부터 운용전환일 전일까지 종류 CI; 총보수 0.383%
FEESCHED000007,CLASS000083,FUND000006,CG,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.5,0.028,0.015,0.843,,,0.843,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 CG; 총보수 0.843%
FEESCHED000008,CLASS000084,FUND000006,CW,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0,0.028,0.015,0.343,,,0.343,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 CW; 총보수 0.343%
FEESCHED000009,CLASS000085,FUND000006,C-P,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.4,0.028,0.015,0.743,,,0.743,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 C-P; 총보수 0.743%
FEESCHED000010,CLASS000086,FUND000006,C-Pe,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.2,0.028,0.015,0.543,,,0.543,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 C-Pe; 총보수 0.543%
FEESCHED000011,CLASS000087,FUND000006,C-P2,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.3,0.028,0.015,0.643,,,0.643,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 C-P2; 총보수 0.643%
FEESCHED000012,CLASS000088,FUND000006,C-Pe2,BEFORE_OPERATION_CONVERSION,최초설정일,운용전환일 전일,,0.3,,,,0.15,0.028,0.015,0.493,,,0.493,,,,,,,DOC000006,34,[p.34] 최초설정일부터 운용전환일 전일까지 종류 C-Pe2; 총보수 0.493%
FEESCHED000013,CLASS000077,FUND000006,A,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.02,0.01,0.01,0.14,,,0.14,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 A; 총보수 0.14%
FEESCHED000014,CLASS000078,FUND000006,Ae,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.01,0.01,0.01,0.13,,,0.13,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 Ae; 총보수 0.13%
FEESCHED000015,CLASS000079,FUND000006,AG,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.018,0.01,0.01,0.138,,,0.138,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 AG; 총보수 0.138%
FEESCHED000016,CLASS000080,FUND000006,C,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.12,0.01,0.01,0.24,,,0.24,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 C; 총보수 0.24%
FEESCHED000017,CLASS000081,FUND000006,Ce,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.06,0.01,0.01,0.18,,,0.18,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 Ce; 총보수 0.18%
FEESCHED000018,CLASS000082,FUND000006,CI,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.015,0.01,0.01,0.135,,,0.135,,,,,,,DOC000006,34|35,[p.34|35] 운용전환일부터 해지일까지 종류 CI; 총보수 0.135%
FEESCHED000019,CLASS000083,FUND000006,CG,AFTER_OPERATION_CONVERSION,운용전환일,해지일,,0.1,,,,0.08,0.01,0.01,0.2,,,0.2,,,,,,,DOC000006,35,[p.35] 운용전환일부터 해지일까지 종류 CG; 총보수 0.2%
