class_id,fund_id,class_code,class_name_raw,class_name_normalized,account_type,channel,front_load,back_load,management_fee,sales_fee,trust_fee,admin_fee,total_fee,total_expense_ratio,class_inception_date,class_inception_status,source_doc_id,source_page,source_text
CLASS000001,FUND000001,CK139,수수료선취-오프라인(A),A,일반,오프라인,0.2,0,0.09,0.2,0.01,0.01,0.31,0.3122,2019-07-30,ESTABLISHED,DOC000001,8|29|30|46,"[p.8] 수수료선취-오프라인(A) / 펀드코드 CK139 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.2, 수탁 0.01, 사무관리 0.01, 총보수 0.31, 총보수·비용 0.3122; [p.46] 클래스 최초설정일 2019-07-30 (ESTABLISHED)"
CLASS000002,FUND000001,CK140,수수료선취-온라인(Ae),Ae,일반,온라인,0.1,0,0.09,0.1,0.01,0.01,0.21,0.2123,2019-08-01,ESTABLISHED,DOC000001,8|29|30|46,"[p.8] 수수료선취-온라인(Ae) / 펀드코드 CK140 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.1, 수탁 0.01, 사무관리 0.01, 총보수 0.21, 총보수·비용 0.2123; [p.46] 클래스 최초설정일 2019-08-01 (ESTABLISHED)"
CLASS000003,FUND000001,CK141,수수료미징구-오프라인(C),C,일반,오프라인,0,0,0.09,0.3,0.01,0.01,0.41,0.4124,2019-07-30,ESTABLISHED,DOC000001,8|29|30|46,"[p.8] 수수료미징구-오프라인(C) / 펀드코드 CK141 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.3, 수탁 0.01, 사무관리 0.01, 총보수 0.41, 총보수·비용 0.4124; [p.46] 클래스 최초설정일 2019-07-30 (ESTABLISHED)"
CLASS000004,FUND000001,CK142,수수료미징구-온라인(Ce),Ce,일반,온라인,0,0,0.09,0.15,0.01,0.01,0.26,0.2623,2019-07-30,ESTABLISHED,DOC000001,8|29|30|46,"[p.8] 수수료미징구-온라인(Ce) / 펀드코드 CK142 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.15, 수탁 0.01, 사무관리 0.01, 총보수 0.26, 총보수·비용 0.2623; [p.46] 클래스 최초설정일 2019-07-30 (ESTABLISHED)"
CLASS000005,FUND000001,CK143,수수료미징구-오프라인-개인연금(C-P1),C-P1,연금저축,오프라인,0,0,0.09,0.25,0.01,0.01,0.36,0.3624,2019-08-22,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-오프라인-개인연금(C-P1) / 펀드코드 CK143 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.25, 수탁 0.01, 사무관리 0.01, 총보수 0.36, 총보수·비용 0.3624; [p.47] 클래스 최초설정일 2019-08-22 (ESTABLISHED)"
CLASS000006,FUND000001,CK144,수수료미징구-온라인-개인연금(C-Pe1),C-Pe1,연금저축,온라인,0,0,0.09,0.125,0.01,0.01,0.235,0.2373,2019-10-21,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-온라인-개인연금(C-Pe1) / 펀드코드 CK144 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.125, 수탁 0.01, 사무관리 0.01, 총보수 0.235, 총보수·비용 0.2373; [p.47] 클래스 최초설정일 2019-10-21 (ESTABLISHED)"
CLASS000007,FUND000001,CK145,수수료미징구-오프라인-퇴직연금(C-P2),C-P2,퇴직연금,오프라인,0,0,0.09,0.24,0.01,0.01,0.35,0.3524,2020-08-27,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-오프라인-퇴직연금(C-P2) / 펀드코드 CK145 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.24, 수탁 0.01, 사무관리 0.01, 총보수 0.35, 총보수·비용 0.3524; [p.47] 클래스 최초설정일 2020-08-27 (ESTABLISHED)"
CLASS000008,FUND000001,CK146,수수료미징구-온라인-퇴직연금(C-Pe2),C-Pe2,퇴직연금,온라인,0,0,0.09,0.12,0.01,0.01,0.23,0.2324,2019-09-04,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-온라인-퇴직연금(C-Pe2) / 펀드코드 CK146 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.12, 수탁 0.01, 사무관리 0.01, 총보수 0.23, 총보수·비용 0.2324; [p.47] 클래스 최초설정일 2019-09-04 (ESTABLISHED)"
CLASS000009,FUND000001,CK147,수수료미징구-오프라인-기관(C-F),C-F,일반,오프라인,0,0,0.09,0.02,0.01,0.01,0.13,0.1324,2020-05-14,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-오프라인-기관(C-F) / 펀드코드 CK147 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.02, 수탁 0.01, 사무관리 0.01, 총보수 0.13, 총보수·비용 0.1324; [p.47] 클래스 최초설정일 2020-05-14 (ESTABLISHED)"
CLASS000010,FUND000001,CV513,수수료후취-온라인슈퍼(S),S,일반,온라인슈퍼,0,0.15,0.09,0.1,0.01,0.01,0.21,0.21,2019-11-19,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료후취-온라인슈퍼(S) / 펀드코드 CV513 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.1, 수탁 0.01, 사무관리 0.01, 총보수 0.21, 총보수·비용 0.21; [p.47] 클래스 최초설정일 2019-11-19 (ESTABLISHED)"
CLASS000011,FUND000001,CV514,수수료미징구-온라인슈퍼-개인연금(S-P),S-P,연금저축,온라인슈퍼,0,0,0.09,0.075,0.01,0.01,0.185,0.185,2019-10-29,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-온라인슈퍼-개인연금(S-P) / 펀드코드 CV514 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.075, 수탁 0.01, 사무관리 0.01, 총보수 0.185, 총보수·비용 0.185; [p.47] 클래스 최초설정일 2019-10-29 (ESTABLISHED)"
CLASS000012,FUND000001,CV515,수수료미징구-오프라인-랩(C-W),C-W,일반,오프라인,0,0,0.09,0,0.01,0.01,0.11,0.11,2020-08-21,ESTABLISHED,DOC000001,8|29|30|47,"[p.8] 수수료미징구-오프라인-랩(C-W) / 펀드코드 CV515 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0, 수탁 0.01, 사무관리 0.01, 총보수 0.11, 총보수·비용 0.11; [p.47] 클래스 최초설정일 2020-08-21 (ESTABLISHED)"
CLASS000013,FUND000001,CV596,수수료선취-오프라인(A2),A2,일반,오프라인,0.4,0,0.09,0.05,0.01,0.01,0.16,0.1614,2020-08-26,ESTABLISHED,DOC000001,8|29|30|48,"[p.8] 수수료선취-오프라인(A2) / 펀드코드 CV596 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.05, 수탁 0.01, 사무관리 0.01, 총보수 0.16, 총보수·비용 0.1614; [p.48] 클래스 최초설정일 2020-08-26 (ESTABLISHED)"
CLASS000014,FUND000001,DA819,수수료미징구-오프라인-고액(C-I),C-I,일반,오프라인,0,0,0.09,0.03,0.01,0.01,0.14,0.14,2021-05-26,ESTABLISHED,DOC000001,8|29|30|48,"[p.8] 수수료미징구-오프라인-고액(C-I) / 펀드코드 DA819 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.03, 수탁 0.01, 사무관리 0.01, 총보수 0.14, 총보수·비용 0.14; [p.48] 클래스 최초설정일 2021-05-26 (ESTABLISHED)"
CLASS000015,FUND000001,DQ387,수수료미징구-오프라인-고액(C-I2),C-I2,일반,오프라인,0,0,0.09,0.02,0.01,0.01,0.13,0.13,2021-12-24,ESTABLISHED,DOC000001,8|29|30|48,"[p.8] 수수료미징구-오프라인-고액(C-I2) / 펀드코드 DQ387 | [p.29|30] 연간 보수(%): 운용 0.09, 판매 0.02, 수탁 0.01, 사무관리 0.01, 총보수 0.13, 총보수·비용 0.13; [p.48] 클래스 최초설정일 2021-12-24 (ESTABLISHED)"
