doc_id,company_name,file_name,file_path,document_type,document_date,effective_date,fund_id,total_pages,extraction_date
DOC000001,마이다스에셋자산운용,R2_KR5157420003.pdf,data/투자설명서/마이다스에셋자산운용/R2_KR5157420003.pdf,투자설명서,2025-07-29,2025-09-05,FUND000001,67,2026-08-31
DOC000002,마이다스에셋자산운용,R2_KR5157450017.pdf,data/투자설명서/마이다스에셋자산운용/R2_KR5157450017.pdf,투자설명서,2025-10-31,2025-11-13,FUND000002,67,2026-08-31
DOC000003,마이다스에셋자산운용,R2_KR5157450090.pdf,data/투자설명서/마이다스에셋자산운용/R2_KR5157450090.pdf,투자설명서,2025-10-01,2025-11-13,FUND000003,81,2026-08-31
DOC000004,DB자산운용,R2_KR5131420007.pdf,data/투자설명서/DB자산운용/R2_KR5131420007.pdf,투자설명서,2025-09-04,2025-09-11,FUND000004,53,2026-08-31
DOC000005,DB자산운용,R2_KR5131420025.pdf,data/투자설명서/DB자산운용/R2_KR5131420025.pdf,투자설명서,2026-01-06,2026-01-13,FUND000005,49,2026-08-31
DOC000006,KCGI자산운용,R2_KR5147430065.pdf,data/투자설명서/KCGI자산운용/R2_KR5147430065.pdf,투자설명서,2025-09-08,2025-09-26,FUND000006,57,2026-08-31
DOC000007,KCGI자산운용,R2_KR515302022M.pdf,data/투자설명서/KCGI자산운용/R2_KR515302022M.pdf,투자설명서,2025-09-01,2025-11-06,FUND000007,69,2026-08-31
DOC000008,베어링자산운용,R2_KR5156450026.pdf,data/투자설명서/베어링자산운용/R2_KR5156450026.pdf,투자설명서,2025-12-31,2026-01-13,FUND000008,60,2026-08-31
DOC000009,베어링자산운용,R2_KR555202013M.pdf,data/투자설명서/베어링자산운용/R2_KR555202013M.pdf,투자설명서,2025-08-29,2025-09-11,FUND000009,48,2026-08-31
DOC000010,흥국자산운용,R2_KR5139420015.pdf,data/투자설명서/흥국자산운용/R2_KR5139420015.pdf,투자설명서,2025-06-25,2025-07-30,FUND000010,60,2026-08-31
DOC000011,흥국자산운용,R2_KR5139420020.pdf,data/투자설명서/흥국자산운용/R2_KR5139420020.pdf,투자설명서,2025-09-29,2025-11-05,FUND000011,54,2026-08-31
DOC000012,유진자산운용,R2_KR5122420005.pdf,data/투자설명서/유진자산운용/R2_KR5122420005.pdf,투자설명서,2025-12-31,2026-01-13,FUND000012,70,2026-08-31
DOC000013,디에스자산운용,R2_KR5169950018.pdf,data/투자설명서/디에스자산운용/R2_KR5169950018.pdf,투자설명서,2025-07-11,2025-07-30,FUND000013,73,2026-08-31
DOC000014,트러스톤자산운용,R2_KR5172450019.pdf,data/투자설명서/트러스톤자산운용/R2_KR5172450019.pdf,투자설명서,2025-07-03,2025-07-10,FUND000014,52,2026-08-31
DOC000015,스팍스자산운용,R2_KR5194450018.pdf,data/투자설명서/스팍스자산운용/R2_KR5194450018.pdf,투자설명서,2025-01-16,2025-02-07,FUND000015,69,2026-08-31
DOC000016,VIP자산운용,R2_KR514X450008.pdf,data/투자설명서/VIP자산운용/R2_KR514X450008.pdf,투자설명서,2022-12-31,2023-03-31,FUND000016,59,2026-08-31
DOC000017,에셋플러스자산운용,R2_KR516702010M.pdf,data/투자설명서/에셋플러스자산운용/R2_KR516702010M.pdf,투자설명서,2025-05-20,2026-01-13,FUND000017,44,2026-08-31
DOC000018,브이아이자산운용,R2_KR5116501001.pdf,data/투자설명서/브이아이자산운용/R2_KR5116501001.pdf,투자설명서,2021-02-01,2021-02-18,FUND000018,60,2026-08-31
DOC000019,한국투자밸류자산운용,R2_KR5174420011.pdf,data/투자설명서/한국투자밸류자산운용/R2_KR5174420011.pdf,투자설명서,2025-01-15,2025-03-07,FUND000019,52,2026-08-31
DOC000020,코레이트자산운용,R2_KR5160420009.pdf,data/투자설명서/코레이트자산운용/R2_KR5160420009.pdf,투자설명서,2024-12-31,2025-02-12,FUND000020,56,2026-08-31
DOC000021,KB자산운용,R2_KR5127420034.pdf,data/투자설명서/KB자산운용/R2_KR5127420034.pdf,투자설명서,2024-12-31,2025-02-11,FUND000021,48,2026-08-31
DOC000022,KB자산운용,R2_KR5127420039.pdf,data/투자설명서/KB자산운용/R2_KR5127420039.pdf,투자설명서,2024-12-31,2025-02-11,FUND000021,48,2026-08-31
DOC000023,KB자산운용,R2_KR5127420045.pdf,data/투자설명서/KB자산운용/R2_KR5127420045.pdf,투자설명서,2025-08-20,2025-09-25,FUND000022,52,2026-08-31
DOC000024,KB자산운용,R2_KR5127420083.pdf,data/투자설명서/KB자산운용/R2_KR5127420083.pdf,투자설명서,2025-09-07,2025-10-30,FUND000023,48,2026-08-31
DOC000025,KB자산운용,R2_KR5127450117.pdf,data/투자설명서/KB자산운용/R2_KR5127450117.pdf,투자설명서,2025-11-04,2025-11-26,FUND000024,51,2026-08-31
