fund_id,company_name,fund_name_raw,fund_name_normalized,fund_code,management_company,asset_type_l1,asset_type_l2,investment_region,investment_target,risk_grade,risk_grade_text,benchmark,volatility,inception_date,inception_status,inception_scheduled_date,currency_hedge,fund_structure,tdf_vintage,bond_duration_bucket,source_doc_id,source_page,source_text
FUND000001,마이다스에셋자산운용,마이다스 우량채권 증권 자투자신탁 제1호(채권),마이다스우량채권,CK138,마이다스에셋자산운용주식회사,채권형,국내중기채,국내,국내 우량채권,5,5등급(낮은 위험),KIS 중단기지수(1-2Y)*55% + KIS 중기지수(2-3Y)*40% + Call 지수*5%,,2019-07-30,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형 자투자신탁,,중기,DOC000001,1|8|18|19|46,[p.1] 집합투자기구 명칭: 마이다스 우량채권 증권 자투자신탁 제1호(채권); 투자위험등급: 5등급(낮은 위험) | [p.8] 펀드코드 CK138; 운용자산별 종류: 증권(채권형); 종류형·모자형 자투자신탁 | [p.18-19] 비교지수: KIS 중단기지수(1-2Y)*55% + KIS 중기지수(2-3Y)*40% + Call 지수*5%; 국내 우량채권 투자; 통상 기준 듀레이션 1.7년±0.5년 | [p.46] 운용 최초설정일 2019-07-30
FUND000002,마이다스에셋자산운용,마이다스 책임투자 증권 투자신탁(주식),마이다스책임투자,93983,마이다스에셋자산운용주식회사,주식형,국내주식,국내,국내 주식(ESG 책임투자),2,2등급(높은 위험),KOSPI*100%,,2009-04-20,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형,,,DOC000002,1|4|8|17|46,[p.1] 집합투자기구 명칭: 마이다스 책임투자 증권 투자신탁(주식); 투자위험등급: 2등급(높은 위험) | [p.4] 비교지수: KOSPI*100%; 최초설정일 2009-04-20 | [p.8] 펀드코드 93983; 운용자산별 종류: 증권(주식형); 종류형 | [p.17] 국내 주식 60% 이상; ESG 비재무적 요소를 반영한 책임투자 Universe
FUND000003,마이다스에셋자산운용,마이다스 거북이90 증권 자투자신탁 1호(주식),마이다스거북이90,AL420,마이다스에셋자산운용주식회사,주식형,국내주식,국내,국내 주식형 및 채권형 모투자신탁,4,4등급(보통 위험),KOSPI*9% + 매경BP종합채권지수 국고채1-2Y*81% + [KIS중단기지수(1-2Y)*55% + KIS중기지수(2-3Y)*40% + Call지수*5%]*10%,,2013-10-02,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형 자투자신탁,,,DOC000003,1|4|8|23|60,"[p.1] 집합투자기구 명칭: 마이다스 거북이90 증권 자투자신탁 1호(주식); 투자위험등급: 4등급(보통 위험) | [p.4] 비교지수: KOSPI*9% + 매경BP종합채권지수 국고채1-2Y*81% + 복합 채권지수*10% | [p.8] 펀드코드 AL420; 운용자산별 종류: 증권(주식형); 종류형·모자형 자투자신탁 | [p.23] 주식형 모투자신탁 80% 이상, 채권형 모투자신탁 20% 이하 | [p.60] 운용 최초설정일 2013-10-02"
FUND000004,DB자산운용,DB 정통크레딧증권자투자신탁 [채권],DB정통크레딧,BS760,DB자산운용주식회사,채권형,국내중기채,국내,국내 A-등급 이상 회사채·여전채 및 A2-등급 이상 기업어음,5,5등급(낮은 위험),KIS 중단기지수(1-2년)*100%,,2017-07-19,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형 자투자신탁,,중기,DOC000004,1|3|8|15|19|21|36,[p.1] DB 정통크레딧증권자투자신탁 [채권]; 작성기준일 2025-09-04; 효력발생일 2025-09-11; 5등급(낮은 위험) | [p.3] 펀드코드 BS760 | KIS 중단기지수(1-2년)*100%; 국내 A-등급 이상 회사채·여전채 및 A2-등급 이상 기업어음 | [성과표] 최초설정일 2017-07-19
FUND000005,DB자산운용,DB 다같이장기채권증권투자신탁 [채권],DB다같이장기채권,BE508,DB자산운용주식회사,채권형,국내장기채,국내,국내 국공채 및 우량 채권,5,5등급(낮은 위험),KIS 채권종합지수(6-7년)*100%,,2016-06-29,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형,,장기,DOC000005,1|3|8|17|19|33,[p.1] DB 다같이장기채권증권투자신탁 [채권]; 작성기준일 2026-01-06; 효력발생일 2026-01-13; 5등급(낮은 위험) | [p.3] 펀드코드 BE508 | KIS 채권종합지수(6-7년)*100%; 국내 국공채 및 우량 채권 | [성과표] 최초설정일 2016-06-29
FUND000006,KCGI자산운용,KCGI 코리아목표전환형증권투자신탁 4호 [채권혼합] (운용전환일 이후) KCGI 코리아목표전환형증권투자신탁 4호 [채권],KCGI코리아목표전환형4호,EO737,케이씨지아이자산운용㈜,혼합형,채권혼합·목표전환형,국내,국내 주식 및 채권; 목표기준가격 도달 후 채권형으로 전환,4,"4등급(보통 위험), 운용전환일 이후 5등급(낮은 위험)",,,,NOT_ESTABLISHED,,,"투자신탁|증권(혼합채권형, 전환 후 채권형)|개방형|단위형|종류형",,,DOC000006,1|5|10|19|27|42,"[p.1] KCGI 코리아목표전환형증권투자신탁 4호 [채권혼합] (운용전환일 이후) KCGI 코리아목표전환형증권투자신탁 4호 [채권]; 작성기준일 2025-09-08; 효력발생일 2025-09-26 | [요약] 펀드코드 EO737; 4등급(보통 위험), 운용전환일 이후 5등급(낮은 위험) | 국내 주식 및 채권; 목표기준가격 도달 후 채권형으로 전환 | [p.42] 신규설정으로 재무정보·설정환매·운용실적·자산구성 해당사항 없음; 변경시행일 및 최초설정일 공란"
FUND000007,KCGI자산운용,KCGI 코리아증권투자신탁 1호 [주식],KCGI코리아증권1호,AJ437,케이씨지아이자산운용㈜,주식형,국내주식,국내,국내 주식 60% 이상,2,2등급(높은 위험),KOSPI*100%,,2013-07-08,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형,,,DOC000007,1|5|9|20|24|50|53,[p.1] KCGI 코리아증권투자신탁 1호 [주식]; 작성기준일 2025-09-01; 효력발생일 2025-11-06 | [요약] 펀드코드 AJ437; 2등급(높은 위험) | 국내 주식 60% 이상
FUND000008,베어링자산운용,베어링 고배당 증권자투자신탁 (주식),베어링고배당증권자,AX563,베어링자산운용㈜,주식형,국내주식,국내,국내 고배당주 및 배당 매력이 높은 주식,3,3등급(다소높은위험),KOSPI*100%,,2016-08-29,ESTABLISHED,,,투자신탁|증권(주식형)|개방형|추가형|종류형|모자형 자투자신탁,,,DOC000008,1|4|8|15|19|23|42|45,[p.1] 베어링 고배당 증권자투자신탁 (주식); 작성기준일 2025-12-31; 효력발생일 2026-01-13; 3등급(다소높은위험) | [목록] 펀드코드 AX563 | [전략] 국내 고배당주 및 배당 매력이 높은 주식; 비교지수 KOSPI*100% | [성과] 최초설정일 2016-08-29
FUND000009,베어링자산운용,베어링 고배당 증권 투자회사 (주식),베어링고배당증권투자회사,34158,베어링자산운용㈜,주식형,국내주식,국내,국내 고배당주 및 공모주,2,2등급(높은 위험),KOSPI*100%,,2002-04-02,ESTABLISHED,,,투자회사|증권(주식형)|개방형|추가형|종류형,,,DOC000009,1|4|8|15|18|33|35,[p.1] 베어링 고배당 증권 투자회사 (주식); 작성기준일 2025-08-29; 효력발생일 2025-09-11; 2등급(높은 위험) | [목록] 펀드코드 34158 | [전략] 국내 고배당주 및 공모주; 비교지수 KOSPI*100% | [성과] 최초설정일 2002-04-02
FUND000010,흥국자산운용,흥국멀티크레딧증권자투자신탁 [채권],흥국멀티크레딧증권자투자신탁,85028,흥국자산운용 주식회사,채권형,국내채권,국내,국내 채권 및 기업어음에 투자하는 모투자신탁,5,5등급(낮은 위험),KIS 중단기지수 1-2Y*100%,,2008-06-26,ESTABLISHED,,,투자신탁|증권(채권형)|개방형|추가형|종류형|모자형 자투자신탁,,1-2년,DOC000010,1|2|9|20|23|42|45,[p.1] 흥국멀티크레딧증권자투자신탁 [채권]; 작성기준일 2025-06-25; 효력발생일 2025-07-30; 5등급(낮은 위험) | [p.2] 펀드코드 85028 | [전략] 국내 채권 및 기업어음; 비교지수 KIS 중단기지수 1-2Y*100% | [성과] 최초설정일 2008-06-26
