class_id,fund_id,period,return_pct,benchmark_return_pct,as_of_date,source_doc_id,source_page,source_text
,FUND000001,1Y,5.13,4.14,2025-07-29,DOC000001,46,"[p.46] 마이다스 우량채권 증권 자투자신탁 기간 ( 출자지분수 2022/07/30~2023/07/29 2023/07/30~2024/07/29 ( 주 1) 이익분배에 의한 재투자분을 3. 집합투자기구의 운용실적 ( 세전 투자실적 추이는 투자자의 투자판단에 수익률을 , 연도별 수익률은 기간별 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )( 운용 ); 최초설정일 2019-07-30; 1Y 수익률 5.13%"
,FUND000001,2Y,5.71,4.71,2025-07-29,DOC000001,46,"[p.46] 마이다스 우량채권 증권 자투자신탁 기간 ( 출자지분수 2022/07/30~2023/07/29 2023/07/30~2024/07/29 ( 주 1) 이익분배에 의한 재투자분을 3. 집합투자기구의 운용실적 ( 세전 투자실적 추이는 투자자의 투자판단에 수익률을 , 연도별 수익률은 기간별 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )( 운용 ); 최초설정일 2019-07-30; 2Y 수익률 5.71%"
,FUND000001,3Y,5.41,4.27,2025-07-29,DOC000001,46,"[p.46] 마이다스 우량채권 증권 자투자신탁 기간 ( 출자지분수 2022/07/30~2023/07/29 2023/07/30~2024/07/29 ( 주 1) 이익분배에 의한 재투자분을 3. 집합투자기구의 운용실적 ( 세전 투자실적 추이는 투자자의 투자판단에 수익률을 , 연도별 수익률은 기간별 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )( 운용 ); 최초설정일 2019-07-30; 3Y 수익률 5.41%"
,FUND000001,5Y,3.53,2.51,2025-07-29,DOC000001,46,"[p.46] 마이다스 우량채권 증권 자투자신탁 기간 ( 출자지분수 2022/07/30~2023/07/29 2023/07/30~2024/07/29 ( 주 1) 이익분배에 의한 재투자분을 3. 집합투자기구의 운용실적 ( 세전 투자실적 추이는 투자자의 투자판단에 수익률을 , 연도별 수익률은 기간별 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )( 운용 ); 최초설정일 2019-07-30; 5Y 수익률 3.53%"
,FUND000001,SINCE_INCEPTION,3.39,2.46,2025-07-29,DOC000001,46,"[p.46] 마이다스 우량채권 증권 자투자신탁 기간 ( 출자지분수 2022/07/30~2023/07/29 2023/07/30~2024/07/29 ( 주 1) 이익분배에 의한 재투자분을 3. 집합투자기구의 운용실적 ( 세전 투자실적 추이는 투자자의 투자판단에 수익률을 , 연도별 수익률은 기간별 운용 실적으로 투자자의 투자시기에 보장하지 않습니다 . 가 . 연평균 수익률 종류 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )( 운용 ); 최초설정일 2019-07-30; SINCE_INCEPTION 수익률 3.39%"
CLASS000001,FUND000001,1Y,4.81,4.14,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A; 최초설정일 2019-07-30; 1Y 수익률 4.81%
CLASS000001,FUND000001,2Y,5.38,4.71,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A; 최초설정일 2019-07-30; 2Y 수익률 5.38%
CLASS000001,FUND000001,3Y,5.09,4.27,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A; 최초설정일 2019-07-30; 3Y 수익률 5.09%
CLASS000001,FUND000001,5Y,3.21,2.51,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A; 최초설정일 2019-07-30; 5Y 수익률 3.21%
CLASS000001,FUND000001,SINCE_INCEPTION,3.07,2.46,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A; 최초설정일 2019-07-30; SINCE_INCEPTION 수익률 3.07%
CLASS000002,FUND000001,1Y,4.91,4.14,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ae; 최초설정일 2019-08-01; 1Y 수익률 4.91%
CLASS000002,FUND000001,2Y,5.48,4.71,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ae; 최초설정일 2019-08-01; 2Y 수익률 5.48%
CLASS000002,FUND000001,3Y,5.19,4.27,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ae; 최초설정일 2019-08-01; 3Y 수익률 5.19%
CLASS000002,FUND000001,5Y,3.31,2.51,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ae; 최초설정일 2019-08-01; 5Y 수익률 3.31%
CLASS000002,FUND000001,SINCE_INCEPTION,3.17,2.46,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ae; 최초설정일 2019-08-01; SINCE_INCEPTION 수익률 3.17%
